seq,time_sent,time_received,delay(offset=-483168215350),payload_bytes
0,1757857878324684700,1.757857395159601e+18,3131392.0,1037
1,1757857878425019700,1.757857395260135e+18,3330560.0,1037
2,1757857878525299100,1.757857395360762e+18,3678208.0,1037
3,1757857878625202900,1.757857395460241e+18,3253248.0,1037
4,1757857878725011800,1.757857395560167e+18,3370496.0,1037
5,1757857878825029100,1.757857395659817e+18,3003136.0,1037
6,1757857878925013300,1.757857395760462e+18,3664128.0,1037
7,1757857879024861600,1.757857395860104e+18,3457536.0,1037
8,1757857879125473200,1.757857395960291e+18,3033088.0,1037
9,1757857879225160200,1.7578573960602e+18,3255040.0,1037
10,1757857879324921900,1.757857396160482e+18,3775488.0,1038
11,1757857879424791500,1.757857396259802e+18,3225856.0,1038
12,1757857879525370400,1.75785739636039e+18,3234816.0,1038
13,1757857879625241000,1.757857396460295e+18,3269120.0,1038
14,1757857879725349900,1.757857396560532e+18,3397376.0,1038
15,1757857879824805600,1.757857396659921e+18,3330560.0,1038
16,1757857879924920200,1.757857396760009e+18,3303936.0,1038
17,1757857880025434200,1.757857396860676e+18,3457280.0,1038
18,1757857880124783900,1.757857396960768e+18,4199424.0,1038
19,1757857880225410300,1.757857397061223e+18,4027904.0,1038
20,1757857880324901700,1.757857397159944e+18,3257600.0,1038
21,1757857880425008800,1.757857397260103e+18,3309312.0,1038
22,1757857880525066200,1.757857397360159e+18,3308032.0,1038
23,1757857880625251600,1.757857397460278e+18,3241728.0,1038
24,1757857880724919000,1.757857397560122e+18,3418368.0,1038
25,1757857880824987200,1.757857397660179e+18,3407104.0,1038
26,1757857880925023500,1.757857397760156e+18,3347712.0,1038
27,1757857881025421900,1.75785739786104e+18,3833600.0,1038
28,1757857881124750800,1.757857397959829e+18,3293440.0,1038
29,1757857881225265700,1.757857398061297e+18,4246528.0,1038
30,1757857881324956300,1.757857398160082e+18,3340800.0,1038
31,1757857881424963500,1.757857398260109e+18,3360768.0,1038
32,1757857881525189800,1.757857398360334e+18,3359488.0,1038
33,1757857881624974800,1.757857398460103e+18,3343360.0,1038
34,1757857881725346800,1.757857398560534e+18,3402496.0,1038
35,1757857881824953100,1.757857398660655e+18,3917312.0,1038
36,1757857881925012400,1.757857398760254e+18,3456768.0,1038
37,1757857882024947500,1.757857398861762e+18,5029888.0,1038
38,1757857882125217300,1.757857398960277e+18,3275008.0,1038
39,1757857882224902400,1.757857399060111e+18,3424000.0,1038
40,1757857882325230200,1.757857399161028e+18,4013312.0,1038
41,1757857882425023100,1.757857399260164e+18,3356416.0,1038
42,1757857882525178800,1.757857399360336e+18,3372288.0,1038
43,1757857882625184700,1.757857399460343e+18,3373568.0,1038
44,1757857882729413000,1.757857399565076e+18,3878144.0,1038
45,1757857882824869400,1.75785739966008e+18,3426048.0,1038
46,1757857882925056000,1.757857399759979e+18,3138304.0,1038
47,1757857883024872100,1.757857399860036e+18,3379200.0,1038
48,1757857883125393700,1.757857399960577e+18,3398656.0,1038
49,1757857883225377800,1.75785740006052e+18,3357440.0,1038
50,1757857883324965800,1.757857400160256e+18,3505408.0,1038
51,1757857883424973000,1.757857400259925e+18,3167232.0,1038
52,1757857883524712400,1.757857400359791e+18,3293952.0,1038
53,1757857883625320100,1.757857400460487e+18,3382016.0,1038
54,1757857883724976300,1.757857400560232e+18,3470848.0,1038
55,1757857883825133600,1.75785740066035e+18,3431680.0,1038
56,1757857883924999700,1.757857400760251e+18,3466496.0,1038
57,1757857884025470700,1.757857400860607e+18,3351552.0,1038
58,1757857884125448000,1.757857400960625e+18,3392256.0,1038
59,1757857884224737300,1.75785740105993e+18,3408128.0,1038
60,1757857884324935600,1.757857401160147e+18,3426560.0,1038
61,1757857884425003900,1.757857401260316e+18,3527424.0,1038
62,1757857884525242700,1.757857401360373e+18,3345664.0,1038
63,1757857884625401700,1.757857401460609e+18,3422720.0,1038
64,1757857884725391600,1.757857401560575e+18,3398656.0,1038
65,1757857884824973400,1.757857401660152e+18,3394048.0,1038
66,1757857884925216700,1.757857401760214e+18,3212544.0,1038
67,1757857885024768800,1.757857401859939e+18,3385600.0,1038
68,1757857885124937700,1.75785740196018e+18,3457536.0,1038
69,1757857885225019700,1.757857402060393e+18,3588608.0,1038
70,1757857885324999400,1.757857402160472e+18,3687936.0,1038
71,1757857885425000100,1.757857402259991e+18,3206144.0,1038
72,1757857885524994800,1.757857402360223e+18,3443456.0,1038
73,1757857885625137300,1.757857402460335e+18,3412992.0,1038
74,1757857885725341700,1.757857402560417e+18,3290624.0,1038
75,1757857885824779000,1.757857402659961e+18,3397376.0,1038
76,1757857885925001600,1.757857402761744e+18,4957440.0,1038
77,1757857886025369300,1.75785740286051e+18,3355904.0,1038
78,1757857886125370700,1.757857402960535e+18,3379712.0,1038
79,1757857886225540800,1.757857403060946e+18,3620352.0,1038
80,1757857886325162900,1.757857403162471e+18,5523200.0,1038
81,1757857886425170000,1.757857403260399e+18,3444480.0,1038
82,1757857886525184100,1.757857403360409e+18,3440384.0,1038
83,1757857886625394900,1.757857403460639e+18,3459328.0,1038
84,1757857886725366900,1.757857403560618e+18,3466496.0,1038
85,1757857886825018300,1.757857403660399e+18,3596032.0,1038
86,1757857886924969700,1.757857403760204e+18,3449600.0,1038
87,1757857887025184400,1.757857403860439e+18,3469824.0,1038
88,1757857887125425600,1.757857403960538e+18,3327744.0,1038
89,1757857887225342300,1.757857404060867e+18,3740160.0,1038
90,1757857887324975100,1.757857404160223e+18,3463168.0,1038
91,1757857887425079400,1.757857404260376e+18,3512064.0,1038
92,1757857887524814300,1.757857404360167e+18,3567872.0,1038
93,1757857887625445200,1.757857404461227e+18,3997184.0,1038
94,1757857887725335100,1.757857404560594e+18,3474176.0,1038
95,1757857887824981200,1.757857404660267e+18,3501056.0,1038
96,1757857887925209000,1.757857404760542e+18,3548160.0,1038
97,1757857888024870600,1.757857404862503e+18,5847552.0,1038
