seq,time_sent,time_received,delay(offset=-483172996850),payload_bytes
0,1757857656049385000,1.757857172879809e+18,3420928.0,1037
1,1757857656074698600,1.757857172904775e+18,3073280.0,1037
2,1757857656099712600,1.757857172930064e+18,3348224.0,1037
3,1757857656124487900,1.757857172954891e+18,3399936.0,1037
4,1757857656149658200,1.757857172979918e+18,3256832.0,1037
5,1757857656174778800,1.757857173004803e+18,3021056.0,1037
6,1757857656199780900,1.757857173030035e+18,3250944.0,1037
7,1757857656225041300,1.757857173055445e+18,3400448.0,1037
8,1757857656250024100,1.757857173080395e+18,3367680.0,1037
9,1757857656274787800,1.757857173104919e+18,3128064.0,1037
10,1757857656299686100,1.757857173130006e+18,3316736.0,1038
11,1757857656325080400,1.757857173155508e+18,3424512.0,1038
12,1757857656350004700,1.757857173180102e+18,3094016.0,1038
13,1757857656374894700,1.757857173205104e+18,3206400.0,1038
14,1757857656399651600,1.757857173229751e+18,3096320.0,1038
15,1757857656424480900,1.757857173255165e+18,3680768.0,1038
16,1757857656450154400,1.757857173280285e+18,3127296.0,1038
17,1757857656475047700,1.757857173305342e+18,3291136.0,1038
18,1757857656499522400,1.75785717332991e+18,3384576.0,1038
19,1757857656524711200,1.757857173354991e+18,3276800.0,1038
20,1757857656549554400,1.757857173382416e+18,5858304.0,1038
21,1757857656574711900,1.757857173405137e+18,3421952.0,1038
22,1757857656600192800,1.757857173430618e+18,3422208.0,1038
23,1757857656624559500,1.757857173454672e+18,3109120.0,1038
24,1757857656649675900,1.757857173480103e+18,3424000.0,1038
25,1757857656674424100,1.757857173504744e+18,3316736.0,1038
26,1757857656699747400,1.757857173530095e+18,3344640.0,1038
27,1757857656725060700,1.757857173554943e+18,2879232.0,1038
28,1757857656750100700,1.757857173580435e+18,3331072.0,1038
29,1757857656774506300,1.757857173604663e+18,3153664.0,1038
30,1757857656799867800,1.757857173630192e+18,3321088.0,1038
31,1757857656824715000,1.757857173654981e+18,3262976.0,1038
32,1757857656850087200,1.75785717368045e+18,3359744.0,1038
33,1757857656874825800,1.757857173705138e+18,3309056.0,1038
34,1757857656900059800,1.757857173730339e+18,3276032.0,1038
35,1757857656924576000,1.757857173755028e+18,3448832.0,1038
36,1757857656950112200,1.757857173780558e+18,3442688.0,1038
37,1757857656975651300,1.757857173806054e+18,3399424.0,1038
38,1757857657000113300,1.757857173830785e+18,3668480.0,1038
39,1757857657024678600,1.75785717385498e+18,3298304.0,1038
40,1757857657049924100,1.757857173882212e+18,5284864.0,1038
41,1757857657074700300,1.757857173905026e+18,3322624.0,1038
42,1757857657099540700,1.757857173929829e+18,3285248.0,1038
43,1757857657124820600,1.757857173955636e+18,3812352.0,1038
44,1757857657150105600,1.757857173980811e+18,3702272.0,1038
45,1757857657174583200,1.757857174004862e+18,3275520.0,1038
46,1757857657199709500,1.757857174030731e+18,4018432.0,1038
47,1757857657224732200,1.757857174054874e+18,3138816.0,1038
48,1757857657249963600,1.757857174080325e+18,3358464.0,1038
49,1757857657274603800,1.757857174105081e+18,3474176.0,1038
