seq,time_sent,time_received,OWD,payload_bytes
0,1757512309530647040.000000000,1757512309530725888.000000000,78848.000,559
1,1757512309635672064.000000000,1757512309635824128.000000000,152064.000,559
2,1757512309735685120.000000000,1757512309735963904.000000000,278784.000,559
3,1757512309835681024.000000000,1757512309835896064.000000000,215040.000,559
4,1757512309935678976.000000000,1757512309935872000.000000000,193024.000,559
5,1757512310034536960.000000000,1757512310034800896.000000000,263936.000,559
6,1757512310135672064.000000000,1757512310135825920.000000000,153856.000,559
7,1757512310235676928.000000000,1757512310235869952.000000000,193024.000,559
8,1757512310335681024.000000000,1757512310335910912.000000000,229888.000,559
9,1757512310430907904.000000000,1757512310431101952.000000000,194048.000,559
10,1757512310535693056.000000000,1757512310535838976.000000000,145920.000,560
11,1757512310635676928.000000000,1757512310635819008.000000000,142080.000,560
12,1757512310735683072.000000000,1757512310735879936.000000000,196864.000,560
13,1757512310835684096.000000000,1757512310835883008.000000000,198912.000,560
14,1757512310935680000.000000000,1757512310935879936.000000000,199936.000,560
15,1757512311034529024.000000000,1757512311034780928.000000000,251904.000,560
16,1757512311134799872.000000000,1757512311135083008.000000000,283136.000,560
17,1757512311235540992.000000000,1757512311235682048.000000000,141056.000,560
18,1757512311335692032.000000000,1757512311335918080.000000000,226048.000,560
19,1757512311435686912.000000000,1757512311435875072.000000000,188160.000,560
20,1757512311534656000.000000000,1757512311534812928.000000000,156928.000,560
21,1757512311635685888.000000000,1757512311635874048.000000000,188160.000,560
22,1757512311735677952.000000000,1757512311735830016.000000000,152064.000,560
23,1757512311835678976.000000000,1757512311835866880.000000000,187904.000,560
24,1757512311933934080.000000000,1757512311934149888.000000000,215808.000,560
25,1757512312035675904.000000000,1757512312035875072.000000000,199168.000,560
26,1757512312135677952.000000000,1757512312135879936.000000000,201984.000,560
27,1757512312235670016.000000000,1757512312235848960.000000000,178944.000,560
28,1757512312335680000.000000000,1757512312335873024.000000000,193024.000,560
29,1757512312434512896.000000000,1757512312434714880.000000000,201984.000,560
30,1757512312535674112.000000000,1757512312535865088.000000000,190976.000,560
31,1757512312633997056.000000000,1757512312634248960.000000000,251904.000,560
32,1757512312735675904.000000000,1757512312735875072.000000000,199168.000,560
33,1757512312835269120.000000000,1757512312835474944.000000000,205824.000,560
34,1757512312934528000.000000000,1757512312934733056.000000000,205056.000,560
35,1757512313035677952.000000000,1757512313035877120.000000000,199168.000,560
36,1757512313135217920.000000000,1757512313135371008.000000000,153088.000,560
37,1757512313235693056.000000000,1757512313235838976.000000000,145920.000,560
38,1757512313335685120.000000000,1757512313335874048.000000000,188928.000,560
39,1757512313435458048.000000000,1757512313435642880.000000000,184832.000,560
40,1757512313534515968.000000000,1757512313534727936.000000000,211968.000,560
41,1757512313632620032.000000000,1757512313632860928.000000000,240896.000,560
42,1757512313734497024.000000000,1757512313734725888.000000000,228864.000,560
43,1757512313835678976.000000000,1757512313835883008.000000000,204032.000,560
44,1757512313935692032.000000000,1757512313935838976.000000000,146944.000,560
45,1757512314035684096.000000000,1757512314035900928.000000000,216832.000,560
46,1757512314135681024.000000000,1757512314135898880.000000000,217856.000,560
47,1757512314235681024.000000000,1757512314235927040.000000000,246016.000,560
48,1757512314335685120.000000000,1757512314335924992.000000000,239872.000,560
49,1757512314435682048.000000000,1757512314435930880.000000000,248832.000,560
