seq,time_sent,time_received,delay(offset=-483168613150),payload_bytes
0,1757857861108689700,1.757857377943383e+18,3306496.0,1037
1,1757857861209540500,1.75785737804434e+18,3412480.0,1037
2,1757857861309356100,1.757857378144066e+18,3323136.0,1037
3,1757857861408840300,1.757857378243511e+18,3283968.0,1037
4,1757857861509037700,1.757857378343728e+18,3303424.0,1037
5,1757857861609003900,1.757857378443671e+18,3280384.0,1037
6,1757857861709064800,1.757857378543678e+18,3226368.0,1037
7,1757857861809201000,1.757857378643816e+18,3228160.0,1037
8,1757857861909330400,1.757857378744028e+18,3310592.0,1037
9,1757857862009165900,1.757857378843818e+18,3265280.0,1037
10,1757857862109280300,1.757857378944051e+18,3383808.0,1038
11,1757857862209396900,1.75785737904407e+18,3286016.0,1038
12,1757857862308808200,1.757857379143703e+18,3507968.0,1038
13,1757857862409300600,1.757857379244801e+18,4113664.0,1038
14,1757857862509248400,1.757857379343945e+18,3309568.0,1038
15,1757857862608941400,1.757857379443628e+18,3299840.0,1038
16,1757857862708966600,1.757857379543696e+18,3342336.0,1038
17,1757857862809006700,1.757857379643649e+18,3255552.0,1038
18,1757857862908890800,1.757857379743644e+18,3366144.0,1038
19,1757857863008943400,1.757857379843789e+18,3458816.0,1038
20,1757857863109006600,1.757857379943587e+18,3193600.0,1038
21,1757857863209306100,1.757857380043917e+18,3224064.0,1038
22,1757857863309185500,1.757857380143801e+18,3228672.0,1038
23,1757857863409207900,1.757857380244043e+18,3448320.0,1038
24,1757857863508992300,1.75785738034356e+18,3180800.0,1038
25,1757857863609291200,1.757857380444073e+18,3394816.0,1038
26,1757857863709321500,1.757857380544136e+18,3427584.0,1038
27,1757857863808890400,1.757857380643646e+18,3368704.0,1038
28,1757857863908759700,1.75785738074385e+18,3703296.0,1038
29,1757857864009255200,1.757857380844003e+18,3361024.0,1038
30,1757857864109026700,1.757857380943794e+18,3380224.0,1038
31,1757857864209346800,1.757857381044201e+18,3467264.0,1038
32,1757857864309455300,1.757857381145473e+18,4630784.0,1038
33,1757857864408757500,1.757857381243546e+18,3401728.0,1038
34,1757857864509519900,1.757857381344316e+18,3409152.0,1038
35,1757857864609054800,1.757857381443666e+18,3224320.0,1038
36,1757857864709205400,1.757857381543939e+18,3346688.0,1038
37,1757857864808761600,1.757857381646225e+18,6076416.0,1038
38,1757857864908754300,1.75785738174338e+18,3238912.0,1038
39,1757857865009215600,1.75785738184612e+18,5517568.0,1038
40,1757857865108815600,1.757857381943491e+18,3288576.0,1038
41,1757857865209113200,1.757857382044439e+18,3939072.0,1038
42,1757857865309024800,1.757857382143509e+18,3097344.0,1038
43,1757857865410262700,1.757857382245119e+18,3469312.0,1038
44,1757857865509050100,1.757857382343871e+18,3433984.0,1038
45,1757857865608992500,1.757857382443839e+18,3459584.0,1038
46,1757857865709118700,1.757857382543976e+18,3470336.0,1038
47,1757857865809218100,1.757857382643957e+18,3352064.0,1038
48,1757857865908762700,1.75785738274359e+18,3440384.0,1038
49,1757857866009248600,1.757857382844061e+18,3425536.0,1038
50,1757857866109045900,1.757857382943817e+18,3384064.0,1038
51,1757857866209359000,1.75785738304426e+18,3514112.0,1038
52,1757857866308816500,1.757857383143624e+18,3420672.0,1038
