seq,time_sent,time_received,delay(offset=-483172642050),payload_bytes
0,1757857671110007200,1.757857187940835e+18,3469824.0,1037
1,1757857671117097700,1.757857187947434e+18,2978304.0,1037
2,1757857671122479800,1.75785718795272e+18,2882048.0,1037
3,1757857671127946500,1.757857187958304e+18,2999552.0,1037
4,1757857671134081700,1.757857187964413e+18,2973184.0,1037
5,1757857671140133600,1.757857187970439e+18,2947328.0,1037
6,1757857671145957800,1.757857187976205e+18,2889216.0,1037
7,1757857671151503600,1.757857187981865e+18,3003392.0,1037
8,1757857671157464900,1.757857187987813e+18,2990336.0,1037
9,1757857671163406600,1.757857187993668e+18,2903552.0,1037
10,1757857671169202300,1.75785718800004e+18,3479808.0,1038
11,1757857671175749100,1.757857188006044e+18,2936832.0,1038
12,1757857671181702300,1.757857188013959e+18,4898560.0,1038
13,1757857671189754800,1.757857188020128e+18,3015168.0,1038
14,1757857671195728400,1.75785718802602e+18,2933760.0,1038
15,1757857671201815200,1.757857188032114e+18,2940672.0,1038
16,1757857671208005000,1.757857188038287e+18,2924032.0,1038
17,1757857671214144800,1.757857188044412e+18,2909184.0,1038
18,1757857671220307900,1.757857188050788e+18,3122176.0,1038
19,1757857671226169700,1.757857188056347e+18,2819328.0,1038
20,1757857671232172500,1.757857188062562e+18,3031552.0,1038
21,1757857671238168400,1.757857188068871e+18,3344640.0,1038
22,1757857671244475100,1.757857188074813e+18,2979840.0,1038
23,1757857671250691900,1.757857188080972e+18,2922240.0,1038
24,1757857671256938000,1.757857188087442e+18,3145984.0,1038
25,1757857671263010700,1.757857188093335e+18,2966272.0,1038
26,1757857671270169800,1.75785718810059e+18,3062272.0,1038
27,1757857671276392200,1.757857188106825e+18,3074816.0,1038
28,1757857671282800500,1.757857188114542e+18,4383744.0,1038
29,1757857671290282300,1.757857188120816e+18,3175936.0,1038
30,1757857671296480000,1.757857188126789e+18,2951168.0,1038
31,1757857671302306100,1.75785718813248e+18,2816000.0,1038
32,1757857671308179900,1.757857188138472e+18,2934016.0,1038
33,1757857671314017200,1.757857188144372e+18,2996736.0,1038
34,1757857671319984200,1.757857188150313e+18,2970880.0,1038
35,1757857671325829200,1.757857188156011e+18,2823936.0,1038
36,1757857671331536400,1.75785718816206e+18,3165696.0,1038
37,1757857671337542300,1.757857188167798e+18,2897664.0,1038
38,1757857671343530600,1.757857188173762e+18,2873600.0,1038
39,1757857671349471300,1.757857188179686e+18,2856704.0,1038
40,1757857671354451000,1.75785718818464e+18,2831104.0,1038
41,1757857671359560100,1.757857188189811e+18,2892800.0,1038
42,1757857671365698500,1.757857188196825e+18,3768576.0,1038
43,1757857671372778600,1.75785718820307e+18,2933504.0,1038
44,1757857671378647400,1.757857188208873e+18,2867712.0,1038
45,1757857671384654200,1.757857188214892e+18,2880000.0,1038
46,1757857671390912600,1.757857188221228e+18,2957568.0,1038
47,1757857671396855700,1.75785718822716e+18,2946304.0,1038
48,1757857671401782400,1.757857188232065e+18,2924800.0,1038
49,1757857671407619900,1.75785718823857e+18,3592192.0,1038
