time_s,rtt_ms
0.0,87.8
0.122,9.02
0.331,17.3
0.527,12.9
0.732,17.2
0.936,20.3
1.137,21.1
1.348,30.9
1.527,10.1
1.768,49.8
1.964,44.5
2.167,47.2
2.345,24.3
2.561,40.1
2.773,50.7
2.977,54.1
3.17,46.8
3.358,32.9
3.57,44.9
3.765,39.6
3.97,43.5
4.161,33.4
4.564,28.8
4.984,40.2
5.179,34.9
5.401,56.9
5.597,51.9
5.793,47.6
5.989,42.6
6.192,45.3
6.38,32.0
6.586,37.8
6.799,49.2
7.007,57.0
7.22,69.0
7.4,48.8
7.578,26.0
7.779,26.7
8.019,65.2
8.19,36.0
8.403,48.5
8.593,37.0
8.822,66.1
9.008,51.0
9.198,41.4
9.393,34.8
9.592,33.1
9.794,33.8
10.006,45.0
10.199,37.4
10.41,48.1
10.606,43.3
10.779,15.5
11.009,44.2
11.209,43.9
11.41,44.7
11.6,33.6
11.808,40.9
12.006,37.8
12.21,41.4
12.399,28.9
12.61,39.6
12.82,48.7
13.01,37.6
13.217,44.0
13.414,40.1
13.614,39.9
14.026,50.7
14.218,41.5
14.421,43.5
14.614,35.6
14.815,35.7
15.02,39.9
15.222,41.1
15.427,46.1
15.608,25.9
15.811,28.7
16.028,44.8
16.218,33.7
16.46,74.8
16.64,53.3
16.825,37.8
17.037,49.7
17.224,35.7
17.433,43.6
17.645,54.7
17.809,16.7
18.039,46.0
18.235,42.0
18.419,25.5
18.629,34.2
18.822,26.9
19.017,21.1
19.229,32.9
19.434,37.2
19.621,23.8
19.854,55.8
20.039,39.8
20.251,51.2
20.419,18.7
20.652,49.9
20.839,37.2
21.029,26.1
21.248,44.6
21.42,15.5
21.639,34.2
21.829,23.2
22.05,43.4
22.237,30.0
22.433,25.4
22.638,29.1
22.834,24.5
23.075,64.4
23.229,18.3
23.473,61.1
23.655,43.1
23.861,48.2
24.052,39.0
24.451,35.9
24.657,41.2
24.856,39.7
25.062,44.0
25.256,37.6
25.446,27.2
25.64,20.6
25.858,36.9
26.084,62.8
26.266,44.6
26.459,36.2
26.676,53.1
26.864,40.5
27.064,39.6
27.262,36.3
27.457,30.6
27.646,18.9
27.85,22.1
28.037,9.15
28.254,24.9
28.456,27.1
28.68,50.1
28.876,45.6
29.065,33.5
29.252,19.8
29.458,24.7
29.665,30.2
29.866,30.5
30.081,44.6
30.278,41.2
30.48,42.1
30.684,45.7
30.874,34.3
31.079,38.7
31.293,51.9
31.478,36.9
31.668,25.9
31.884,41.6
32.077,34.2
32.286,41.7
32.457,11.7
32.674,29.0
32.888,41.8
33.083,37.0
33.271,23.3
33.484,35.4
33.686,36.4
33.889,38.9
34.078,27.6
34.317,65.2
34.478,26.0
34.684,31.6
34.887,33.8
35.092,37.5
35.274,18.8
35.508,52.4
35.698,41.7
35.891,33.9
36.088,31.0
36.29,32.7
36.494,36.4
36.693,34.2
36.888,27.9
37.078,17.1
37.316,54.7
37.495,32.9
37.717,54.9
37.896,33.4
38.076,13.3
38.299,35.0
38.5,35.4
38.701,35.8
38.878,12.3
39.104,37.5
39.293,25.7
39.498,29.0
39.706,36.9
39.902,31.6
40.323,44.1
40.5,20.4
40.728,47.7
40.923,41.6
41.114,31.5
41.311,27.9
41.52,37.0
41.72,36.3
41.935,49.7
42.107,21.5
42.321,35.2
42.511,24.6
42.7,12.7
42.933,44.1
43.119,31.4
43.314,25.9
43.52,31.7
43.713,24.0
43.919,29.7
45.965,5.43
46.173,13.1
46.395,34.5
46.616,53.7
46.79,27.4
46.994,30.4
47.188,23.9
47.392,26.7
47.6,33.4
47.796,28.5
48.008,39.4
48.187,18.4
48.409,39.6
48.598,28.1
48.802,31.6
49.008,36.1
49.414,38.3
49.621,44.7
49.812,34.8
50.0,21.3
50.217,36.0
50.408,28.2
50.621,40.6
50.805,22.8
51.013,31.1
51.201,18.1
51.423,39.1
51.6,15.8
51.826,40.1
52.008,21.8
52.218,31.3
52.429,40.7
52.61,21.8
52.804,15.4
53.004,13.7
53.228,36.9
53.436,44.4
53.629,36.6
53.839,46.3
54.042,47.9
54.253,58.7
54.43,34.5
54.614,17.4
54.835,37.9
55.021,23.7
55.235,36.6
55.458,57.8
55.63,30.3
55.836,35.3
56.01,8.18
56.214,11.7
56.435,32.0
56.62,16.6
56.841,36.3
57.044,38.9
57.228,22.4
57.433,26.3
57.622,14.8
58.042,26.3
58.254,38.1
58.434,17.5
58.652,34.5
58.873,54.4
59.061,41.6
59.233,13.0
59.46,39.6
59.635,13.8
59.861,38.0
