time_s,cwnd_bytes,rtt_ms
0.0,308,106.559
1.0,242,103.426
2.0,192,108.708
3.0,173,155.499
4.0,85,166.418
5.0,86,116.37
6.0,64,111.934
7.0,1,39.103
8.0,58,106.362
9.0,4,63.161
10.0,168,65.043
11.0,142,48.174
12.0,128,49.352
13.0,128,67.305
14.0,154,32.212
15.0,156,42.488
16.0,342,146.079
17.0,432,43.775
18.0,569,66.979
19.0,682,84.872
20.0,490,41.299
21.0,632,47.974
22.0,470,58.285
23.0,1,38.576
24.0,318,53.435
25.0,176,41.831
26.0,250,46.146
27.0,372,74.831
28.0,344,59.612
29.0,1,44.648
30.0,290,48.177
31.0,352,54.783
32.0,1,46.722
33.0,282,41.877
34.0,218,38.337
35.0,348,47.863
36.0,260,67.872
37.0,120,31.994
38.0,152,46.655
39.0,214,45.904
40.0,244,121.679
41.0,1,78.368
42.0,208,40.148
43.0,260,50.559
44.0,276,51.928
45.0,336,55.552
46.0,266,60.245
47.0,4,15.422
48.0,1,38.361
49.0,316,77.549
50.0,308,70.624
51.0,1,61.502
52.0,276,177.403
53.0,282,35.925
54.0,230,84.663
55.0,298,109.978
56.0,288,129.729
57.0,4,70.354
58.0,308,69.274
59.0,442,225.325
