run_id, scenario, link_setup, tcp_flavor, background, bidir, trial, mean_throughput_mbps, p90_throughput_mbps, p95_throughput_mbps, mean_rtt_ms, p90_rtt_ms, p95_rtt_ms, retrans_total, median_cwnd_bytes, p95_cwnd_bytes
1,baseline,WiFi-WiFi,BBR,none,no,A,277.145,307.240,311.535,28.511,40.020,48.960,1134,920,1366
2,baseline,WiFi-WiFi,BBR,none,no,B,261.122,302.220,306.165,46.156,50.970,87.355,2639,932,1851
3,baseline,WiFi-WiFi,CUBIC,none,no,A,262.344,285.390,290.766,24.072,26.200,33.750,976,10,10
4,baseline,WiFi-WiFi,CUBIC,none,no,B,279.626,329.217,334.435,42.050,59.740,80.990,1350,669,2022
5,baseline,WiFi-WiFi,Reno,none,no,A,262.204,297.735,305.097,23.755,30.180,47.680,953,429,819
6,baseline,WiFi-WiFi,Reno,none,no,B,254.336,301.858,311.620,24.816,37.660,45.480,1878,376,1259
7,baseline,WiFi-WiFi,Vegas,none,no,A,35.699,107.979,109.053,308.565,834.000,858.400,36,1,61
8,baseline,WiFi-WiFi,Vegas,none,no,B,75.966,92.474,99.664,10.816,9.868,43.090,0,10,10
9,baseline,ETH-WiFi,BBR,none,no,A,611.563,660.712,662.881,22.985,37.480,41.630,380,1962,2374
10,baseline,ETH-WiFi,BBR,none,no,B,640.676,673.305,677.481,21.662,34.460,38.560,41,13,13
11,baseline,ETH-WiFi,CUBIC,none,no,A,658.140,680.863,683.701,28.142,41.240,45.330,328,1886,2351
12,baseline,ETH-WiFi,CUBIC,none,no,B,654.238,677.399,678.554,30.486,42.560,48.380,740,2180,2259
13,baseline,ETH-WiFi,Reno,none,no,A,653.923,674.317,677.524,25.024,37.020,41.770,717,1664,2161
14,baseline,ETH-WiFi,Reno,none,no,B,656.036,677.367,678.586,27.686,40.220,46.320,472,10,10
15,baseline,ETH-WiFi,Vegas,none,no,A,174.443,182.543,183.501,4.620,5.698,6.077,0,11,11
