run_id,scenario,link_setup,tcp_flavor,background,bidir,trial
1,baseline,WiFi-WiFi,BBR,none,no,A
2,baseline,WiFi-WiFi,BBR,none,no,B
3,baseline,WiFi-WiFi,CUBIC,none,no,A
4,baseline,WiFi-WiFi,CUBIC,none,no,B
5,baseline,WiFi-WiFi,Reno,none,no,A
6,baseline,WiFi-WiFi,Reno,none,no,B
7,baseline,WiFi-WiFi,Vegas,none,no,A
8,baseline,WiFi-WiFi,Vegas,none,no,B
9,baseline,ETH-WiFi,BBR,none,no,A
10,baseline,ETH-WiFi,BBR,none,no,B
11,baseline,ETH-WiFi,CUBIC,none,no,A
12,baseline,ETH-WiFi,CUBIC,none,no,B
13,baseline,ETH-WiFi,Reno,none,no,A
14,baseline,ETH-WiFi,Reno,none,no,B
15,baseline,ETH-WiFi,Vegas,none,no,A
16,baseline,ETH-WiFi,Vegas,none,no,B
17,lightBG,WiFi-WiFi,BBR,light,no,A
18,lightBG,WiFi-WiFi,BBR,light,no,B
19,lightBG,WiFi-WiFi,CUBIC,light,no,A
20,lightBG,WiFi-WiFi,CUBIC,light,no,B
21,lightBG,WiFi-WiFi,Reno,light,no,A
22,lightBG,WiFi-WiFi,Reno,light,no,B
23,lightBG,WiFi-WiFi,Vegas,light,no,A
24,lightBG,WiFi-WiFi,Vegas,light,no,B
25,lightBG,ETH-WiFi,BBR,light,no,A
26,lightBG,ETH-WiFi,BBR,light,no,B
27,lightBG,ETH-WiFi,CUBIC,light,no,A
28,lightBG,ETH-WiFi,CUBIC,light,no,B
29,lightBG,ETH-WiFi,Reno,light,no,A
30,lightBG,ETH-WiFi,Reno,light,no,B
31,lightBG,ETH-WiFi,Vegas,light,no,A
32,lightBG,ETH-WiFi,Vegas,light,no,B
33,heavyBG,WiFi-WiFi,BBR,heavy,no,A
34,heavyBG,WiFi-WiFi,BBR,heavy,no,B
35,heavyBG,WiFi-WiFi,CUBIC,heavy,no,A
36,heavyBG,WiFi-WiFi,CUBIC,heavy,no,B
37,heavyBG,WiFi-WiFi,Reno,heavy,no,A
38,heavyBG,WiFi-WiFi,Reno,heavy,no,B
39,heavyBG,WiFi-WiFi,Vegas,heavy,no,A
40,heavyBG,WiFi-WiFi,Vegas,heavy,no,B
41,heavyBG,ETH-WiFi,BBR,heavy,no,A
42,heavyBG,ETH-WiFi,BBR,heavy,no,B
43,heavyBG,ETH-WiFi,CUBIC,heavy,no,A
44,heavyBG,ETH-WiFi,CUBIC,heavy,no,B
45,heavyBG,ETH-WiFi,Reno,heavy,no,A
46,heavyBG,ETH-WiFi,Reno,heavy,no,B
47,heavyBG,ETH-WiFi,Vegas,heavy,no,A
48,heavyBG,ETH-WiFi,Vegas,heavy,no,B
49,heavyBG,WiFi-WiFi,BBR,heavy,yes,A
50,heavyBG,WiFi-WiFi,BBR,heavy,yes,B
51,heavyBG,WiFi-WiFi,CUBIC,heavy,yes,A
52,heavyBG,WiFi-WiFi,CUBIC,heavy,yes,B
53,heavyBG,ETH-WiFi,BBR,heavy,yes,A
54,heavyBG,ETH-WiFi,BBR,heavy,yes,B
55,heavyBG,ETH-WiFi,CUBIC,heavy,yes,A
56,heavyBG,ETH-WiFi,CUBIC,heavy,yes,B
